=============> 2.0 Before RS Changes

Benchmark                                 Mode  Cnt          Score         Error  Units
MultiTest.testCollectList                thrpt   20    3912072.415 ±   83108.338  ops/s
MultiTest.testCollectListWithLoad        thrpt   20         32.049 ±       3.513  ops/s
MultiTest.testCollectorBadCollectMethod  thrpt   20     321702.538 ±   10321.332  ops/s
MultiTest.testCollectorBadNullValue      thrpt   20     592342.792 ±   13522.177  ops/s
MultiTest.testCollectorBadValueMethod    thrpt   20     594139.384 ±   16066.738  ops/s
MultiTest.testEmpty                      thrpt   20  221273528.397 ± 2069484.487  ops/s
MultiTest.testError                      thrpt   20     934990.794 ±   32518.489  ops/s
MultiTest.testErrorCollect               thrpt   20     871473.573 ±   20208.242  ops/s
MultiTest.testErrorFirst                 thrpt   20     835473.987 ±   31427.630  ops/s
MultiTest.testFirst                      thrpt   20     614364.408 ±   15141.161  ops/s
MultiTest.testFirstWithLoad              thrpt   20        160.649 ±      14.417  ops/s
MultiTest.testFromMulti                  thrpt   20    6020090.153 ±  139530.253  ops/s
MultiTest.testFromMultiWithLoad          thrpt   20         36.843 ±       2.436  ops/s
MultiTest.testFromPublisher              thrpt   20   13484905.190 ±  207512.507  ops/s
MultiTest.testFromPublisherWithLoad      thrpt   20         37.159 ±       1.182  ops/s
MultiTest.testJust                       thrpt   20    6091433.215 ±  119109.482  ops/s
MultiTest.testJustWithLoad               thrpt   20         38.869 ±       1.619  ops/s
MultiTest.testMapBadMapper               thrpt   20     331813.833 ±    9618.409  ops/s
MultiTest.testMapBadMapperNullValue      thrpt   20     331357.424 ±   10238.131  ops/s
MultiTest.testMapChain                   thrpt   20        159.431 ±       9.558  ops/s
MultiTest.testMapper                     thrpt   20    3342007.166 ±  120851.819  ops/s
MultiTest.testMapperWithLoad             thrpt   20         14.834 ±       0.674  ops/s
MultiTest.testNever                      thrpt   20  224959458.170 ± 1003747.195  ops/s
MultiTest.testNeverMap                   thrpt   20   13476463.764 ±  308786.163  ops/s

=============> 2.0 After RS changes

Benchmark                                 Mode  Cnt          Score        Error  Units
MultiTest.testCollectList                thrpt   20      28208.291 ±    481.321  ops/s
MultiTest.testCollectListWithLoad        thrpt   20         20.309 ±      0.496  ops/s
MultiTest.testCollectorBadCollectMethod  thrpt   20      25442.106 ±    624.894  ops/s
MultiTest.testCollectorBadNullValue      thrpt   20      25692.490 ±    169.087  ops/s
MultiTest.testCollectorBadValueMethod    thrpt   20      26207.738 ±    629.264  ops/s
MultiTest.testEmpty                      thrpt   20  224551207.938 ± 458755.598  ops/s
MultiTest.testError                      thrpt   20     963898.032 ±  27666.890  ops/s
MultiTest.testErrorCollect               thrpt   20      26225.811 ±    741.921  ops/s
MultiTest.testErrorFirst                 thrpt   20      25951.106 ±    788.661  ops/s
MultiTest.testFirst                      thrpt   20      26767.657 ±    728.279  ops/s
MultiTest.testFirstWithLoad              thrpt   20         33.958 ±      0.057  ops/s
MultiTest.testFromMulti                  thrpt   20    5491076.624 ± 169517.439  ops/s
MultiTest.testFromMultiWithLoad          thrpt   20         34.697 ±      0.827  ops/s
MultiTest.testFromPublisher              thrpt   20   13630306.309 ± 357308.483  ops/s
